customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6374-GZSWK,Female,0,Yes,No,69,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,100.07,6893.27,No
7437-XCVUB,Female,0,Yes,No,68,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),68.49,4660.72,No
7514-ALZVL,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,90.28,2347.21,No
8092-LWTYC,Female,0,No,Yes,53,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,62.76,3313.71,Yes
4264-IGRDY,Male,0,No,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.16,1377.58,No
1989-UBTOG,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.78,1744.06,Yes
7203-RHDBF,Female,0,Yes,No,57,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.41,3734.48,No
5935-RZLBJ,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.8,1520.14,Yes
3768-HUPMR,Female,0,No,No,45,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.82,3102.60,No
4798-MIOMA,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.68,1088.08,No
8687-ALHXK,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.62,1425.60,No
2072-CAEJG,Male,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.3,1032.66,No
